unix,low,high,open,close,volume,date,vol_fiat
1708819200,51275.01,51967.82,51568.63,51731.0,3617.40106809,2024-02-25,187131774.6533638
1708732800,50576.55,51696.19,50746.98,51570.65,3448.96576791,2024-02-24,177865406.47886786
1708646400,50513.01,51512.68,51260.29,50747.05,11679.16625824,2024-02-23,592683234.0652182
1708560000,50905.65,52076.0,51851.46,51258.7,13104.51408087,2024-02-22,671720355.917091
1708473600,50628.6,52394.91,52277.53,51851.67,13735.03407249,2024-02-21,712184454.1655076
1708387200,50764.01,53000.0,51787.05,52277.52,15888.87599974,2024-02-20,830631032.8539277
1708300800,51687.98,52501.01,52153.63,51787.05,6009.01451962,2024-02-19,311189135.37828696
1708214400,51174.38,52400.0,51666.23,52153.63,3997.17143898,2024-02-18,208467000.27513048
1708128000,50642.36,52214.05,52162.65,51666.22,5387.27413329,2024-02-17,278340090.57087046
1708041600,51597.87,52608.2,51935.23,52162.64,13816.27351282,2024-02-16,720693301.3907651
1707955200,51353.49,52890.0,51858.51,51934.29,18465.04404385,2024-02-15,958968952.2360786
1707868800,49253.92,52111.0,49724.55,51858.59,20249.94369733,2024-02-14,1050133527.7229205
1707782400,48327.81,50423.42,49941.95,49725.36,20471.56790372,2024-02-13,1017956083.7769223
1707696000,47715.67,50363.42,48321.14,49941.81,18540.40980624,2024-02-12,925941623.8653749
1707609600,47590.3,48614.0,47767.06,48316.3,5243.1260706,2024-02-11,253328452.16493082
1707523200,46889.53,48179.43,47157.01,47767.06,5663.309891,2024-02-10,270519663.36199045
1707436800,45252.93,48230.02,45304.83,47160.41,21802.75242269,2024-02-09,1028226743.3825537
1707350400,44335.0,45637.38,44345.94,45305.2,19283.80580787,2024-02-08,873656678.886712
1707264000,42760.44,44430.0,43097.16,44343.61,12440.36853251,2024-02-07,551650850.4618957
1707177600,42516.07,43372.79,42658.3,43095.79,7940.35140737,2024-02-06,342195716.77822196
1707091200,42235.0,43520.0,42571.91,42657.67,8756.87806894,2024-02-05,373548014.89507973
1707004800,42228.01,43100.0,43007.82,42568.55,2643.251649,2024-02-04,112519389.98303895
1706918400,42863.58,43358.13,43183.62,43010.67,2254.45335539,2024-02-03,96965549.29907201
1706832000,42527.58,43700.0,43080.38,43181.66,12202.24125895,2024-02-02,526913033.2819509
1706745600,41846.04,43276.19,42545.47,43078.81,11526.63383073,2024-02-01,496553668.73358977
1706659200,42265.77,43741.94,42937.72,42548.08,15320.55510554,2024-01-31,651860204.2749244
1706572800,42680.2,43872.99,43303.3,42942.78,16384.61219735,2024-01-30,703600796.9761176
1706486400,41787.35,43326.77,42034.57,43306.18,12529.09255982,2024-01-29,542587137.6322256
1706400000,41617.53,42839.07,42126.55,42034.59,4298.44263812,2024-01-28,180683273.93189257
1706313600,41383.94,42199.99,41814.96,42126.55,3774.45056434,2024-01-27,159004580.42119724
1706227200,39805.95,42243.14,39941.66,41814.8,19359.37921096,2024-01-26,809508569.8304503
1706140800,39503.0,40282.87,40079.87,39941.66,12977.61691901,2024-01-25,518347562.58934504
1706054400,39382.15,40527.26,39878.28,40077.78,17438.97734668,2024-01-24,698915497.5252247
1705968000,38501.0,40144.49,39524.27,39878.3,21966.56334645,2024-01-23,875989203.098737
1705881600,39372.44,41658.0,41553.92,39524.27,26539.34338688,2024-01-22,1048948173.6457595
1705795200,41472.49,41858.59,41666.67,41554.05,3138.26294449,2024-01-21,130407535.30848469
1705708800,41418.55,41846.15,41623.94,41666.67,4836.63124969,2024-01-20,201526318.19252083
1705622400,40236.49,42159.52,41290.57,41624.07,22744.88751944,2024-01-19,946734790.2512969
